"","NO","miRBase.ID(s)","HGNC.symbol","family.No.","Chromosome","Gene.Start.(bp)","Gene.End.(bp)","Strand"
"1838",82,"hsa-mir-7977","MIR7977",7977,"3",176515103,176515151,1
"1169",83,"hsa-mir-4448","MIR4448",4448,"3",183886800,183886885,1
"661",84,"hsa-mir-1224","MIR1224",1224,"3",184241405,184241489,1
"1497",85,"hsa-mir-5588","MIR5588",5588,"3",185253210,185253272,-1
"411",86,"hsa-mir-548aq","MIR548AQ",548,"3",185767847,185767904,-1
"683",87,"hsa-mir-1248","MIR1248",1248,"3",186786672,186786777,1
"47",88,"hsa-mir-28","MIR28",28,"3",188688781,188688866,1
"638",89,"hsa-mir-944","MIR944",944,"3",189829922,189830009,1
"843",90,"hsa-mir-3137","MIR3137",3137,"3",195134506,195134580,-1
"485",91,"hsa-mir-570","MIR570",570,"3",195699401,195699497,1
"1718",92,"hsa-mir-6829","MIR6829",6829,"3",195882329,195882395,-1
"1441",93,"hsa-mir-4797","MIR4797",4797,"3",197293878,197293948,-1
"621",94,"hsa-mir-922","MIR922",922,"3",197674496,197674576,-1
"486",1,"hsa-mir-571","MIR571",571,"4",350157,350252,1
"637",2,"hsa-mir-943","MIR943",943,"4",1986384,1986477,-1
"1444",3,"hsa-mir-4800","MIR4800",4800,"4",2250077,2250156,-1
"256",4,"hsa-mir-378d-1","MIR378D1",378,"4",5923275,5923328,-1
"1442",5,"hsa-mir-4798","MIR4798",4798,"4",7310450,7310524,1
"1073",6,"hsa-mir-4274","MIR4274",4274,"4",7460028,7460118,1
"69",7,"hsa-mir-95","MIR95",95,"4",8005301,8005381,-1
"440",8,"hsa-mir-548i-2","MIR548I2",548,"4",9556168,9556316,-1
"844",9,"hsa-mir-3138","MIR3138",3138,"4",10078611,10078692,-1
"487",10,"hsa-mir-572","MIR572",572,"4",11368827,11368921,1
"1466",11,"hsa-mir-5091","MIR5091",5091,"4",13627865,13627957,1
"184",12,"hsa-mir-218-1","MIR218-1",218,"4",20528275,20528384,1
"1839",13,"hsa-mir-7978","MIR7978",7978,"4",21464700,21464758,-1
"488",14,"hsa-mir-573","MIR573",573,"4",24520192,24520290,-1
"1074",15,"hsa-mir-4275","MIR4275",4275,"4",28819582,28819668,1
"692",16,"hsa-mir-1255b-1","MIR1255B1",1255,"4",36426366,36426428,-1
"1445",17,"hsa-mir-4801","MIR4801",4801,"4",37241910,37241991,-1
"489",18,"hsa-mir-574","MIR574",574,"4",38868032,38868127,1
"1500",19,"hsa-mir-5591","MIR5591",5591,"4",39411910,39411974,1
"1446",20,"hsa-mir-4802","MIR4802",4802,"4",40502040,40502119,-1
"1841",21,"hsa-mir-8053","MIR8053",8053,"4",47652669,47652743,1
"1170",22,"hsa-mir-4449","MIR4449",4449,"4",52712682,52712747,1
"399",23,"hsa-mir-548ag-1","MIR548AG1",548,"4",60922619,60922684,1
"708",24,"hsa-mir-1269a","MIR1269A",1269,"4",66276824,66276928,1
"1171",25,"hsa-mir-4450","MIR4450",4450,"4",76573568,76573632,1
"401",26,"hsa-mir-548ah","MIR548AH",548,"4",76575551,76575626,1
"1471",27,"hsa-mir-5096","MIR5096",5096,"4",78820752,78820821,1
"490",28,"hsa-mir-575","MIR575",575,"4",82753337,82753430,-1
"1172",29,"hsa-mir-4451","MIR4451",4451,"4",85722468,85722533,1
"1173",30,"hsa-mir-4452","MIR4452",4452,"4",86542482,86542552,-1
"1532",31,"hsa-mir-5705","MIR5705",5705,"4",87300495,87300583,-1
"983",32,"hsa-mir-3684","MIR3684",3684,"4",98997387,98997460,1
"1854",33,"hsa-mir-8066","MIR8066",8066,"4",101240795,101240872,-1
"691",34,"hsa-mir-1255a","MIR1255A",1255,"4",101330302,101330414,-1
"491",35,"hsa-mir-576","MIR576",576,"4",109488698,109488795,1
"194",36,"hsa-mir-297","MIR297",297,"4",110860582,110860647,-1
"237",37,"hsa-mir-367","MIR367",367,"4",112647874,112647941,-1
"203",38,"hsa-mir-302d","MIR302D",302,"4",112648004,112648071,-1
"200",39,"hsa-mir-302a","MIR302A",302,"4",112648183,112648251,-1
"202",40,"hsa-mir-302c","MIR302C",302,"4",112648363,112648430,-1
"201",41,"hsa-mir-302b","MIR302B",302,"4",112648485,112648557,-1
"674",42,"hsa-mir-1243","MIR1243",1243,"4",113106863,113106955,1
"1872",43,"hsa-mir-8082","MIR8082",8082,"4",113152282,113152362,1
"492",44,"hsa-mir-577","MIR577",577,"4",114656759,114656854,1
"790",45,"hsa-mir-1973","MIR1973",1973,"4",116299725,116299768,1
"794",46,"hsa-mir-2054","MIR2054",2054,"4",125507259,125507307,1
"845",47,"hsa-mir-3139","MIR3139",3139,"4",143343460,143343535,1
"1825",48,"hsa-mir-7849","MIR7849",7849,"4",146408583,146408688,1
"433",49,"hsa-mir-548g","MIR548G",548,"4",147344629,147344717,-1
"1443",50,"hsa-mir-4799","MIR4799",4799,"4",147782595,147782668,1
"846",51,"hsa-mir-3140","MIR3140",3140,"4",152489327,152489416,-1
"1174",52,"hsa-mir-4453","MIR4453",4453,"4",152536428,152536516,1
"988",53,"hsa-mir-3688-1","MIR3688-1",3688,"4",159128802,159128894,-1
"989",54,"hsa-mir-3688-2","MIR3688-2",3688,"4",159128805,159128891,1
"1175",55,"hsa-mir-4454","MIR4454",4454,"4",163093574,163093628,-1
"493",56,"hsa-mir-578","MIR578",578,"4",165386242,165386337,1
"1552",57,"hsa-mir-6082","MIR6082",6082,"4",171186184,171186292,1
"453",58,"hsa-mir-548t","MIR548T",548,"4",173268160,173268233,1
"1075",59,"hsa-mir-4276","MIR4276",4276,"4",174423795,174423864,1
"762",60,"hsa-mir-1305","MIR1305",1305,"4",182169293,182169378,1
"1041",61,"hsa-mir-3945","MIR3945",3945,"4",184851013,184851110,-1
"1176",62,"hsa-mir-4455","MIR4455",4455,"4",184938383,184938440,-1
"1177",1,"hsa-mir-4456","MIR4456",4456,"5",535840,535882,-1
"1272",2,"hsa-mir-4635","MIR4635",4635,"5",1062896,1062974,-1
"1178",3,"hsa-mir-4457","MIR4457",4457,"5",1309310,1309377,-1
"1545",4,"hsa-mir-6075","MIR6075",6075,"5",1510762,1510856,-1
"1076",5,"hsa-mir-4277","MIR4277",4277,"5",1708785,1708868,-1
"1077",6,"hsa-mir-4278","MIR4278",4278,"5",6827853,6827921,-1
"1179",7,"hsa-mir-4458","MIR4458",4458,"5",8460925,8460999,1
"1273",8,"hsa-mir-4636","MIR4636",4636,"5",9053816,9053895,-1
"1569",9,"hsa-mir-6131","MIR6131",6131,"5",10478037,10478145,1
"1274",10,"hsa-mir-4637","MIR4637",4637,"5",14825929,14826012,-1
"610",11,"hsa-mir-887","MIR887",887,"5",15935182,15935260,1
"1078",12,"hsa-mir-4279","MIR4279",4279,"5",31936102,31936159,-1
"494",13,"hsa-mir-579","MIR579",579,"5",32394378,32394475,-1
"495",14,"hsa-mir-580","MIR580",580,"5",36147892,36147988,-1
"948",15,"hsa-mir-3650","MIR3650",3650,"5",38557502,38557561,-1
"496",16,"hsa-mir-581","MIR581",581,"5",53951504,53951599,-1
"1180",17,"hsa-mir-4459","MIR4459",4459,"5",54075518,54075583,-1
"284",18,"hsa-mir-449a","MIR449A",449,"5",55170532,55170622,-1
"285",19,"hsa-mir-449b","MIR449B",449,"5",55170646,55170742,-1
"286",20,"hsa-mir-449c","MIR449C",449,"5",55172262,55172353,-1
"1508",21,"hsa-mir-5687","MIR5687",5687,"5",55508850,55508926,-1
"398",22,"hsa-mir-548ae-2","MIR548AE2",548,"5",58530043,58530109,-1
"497",23,"hsa-mir-582","MIR582",582,"5",59703606,59703703,-1
"1447",24,"hsa-mir-4803","MIR4803",4803,"5",72169467,72169540,1
"1448",25,"hsa-mir-4804","MIR4804",4804,"5",72878591,72878663,1
"1048",26,"hsa-mir-3977","MIR3977",3977,"5",82840155,82840224,1
"928",27,"hsa-mir-3607","MIR3607",3607,"5",86620497,86620575,1
"1079",28,"hsa-mir-4280","MIR4280",4280,"5",87114879,87114954,-1
"18",29,"hsa-mir-9-2","MIR9-2",9,"5",88666853,88666939,-1
"958",30,"hsa-mir-3660","MIR3660",3660,"5",90016621,90016720,-1
"802",31,"hsa-mir-2277","MIR2277",2277,"5",93620696,93620788,-1
"498",32,"hsa-mir-583","MIR583",583,"5",96079138,96079212,1
"450",33,"hsa-mir-548p","MIR548P",548,"5",100816482,100816565,-1
"430",34,"hsa-mir-548f-3","MIR548F3",548,"5",110513829,110513915,-1
"676",35,"hsa-mir-1244-2","MIR1244-2",1244,"5",118974586,118974670,1
"1533",36,"hsa-mir-5706","MIR5706",5706,"5",119154637,119154716,1
"1270",37,"hsa-mir-4633","MIR4633",4633,"5",129097688,129097766,1
"1181",38,"hsa-mir-4460","MIR4460",4460,"5",129397062,129397147,-1
"1719",39,"hsa-mir-6830","MIR6830",6830,"5",132217849,132217918,-1
"1032",40,"hsa-mir-3936","MIR3936",3936,"5",132365490,132365599,-1
"736",41,"hsa-mir-1289-2","MIR1289-2",1289,"5",133427596,133427706,-1
"959",42,"hsa-mir-3661","MIR3661",3661,"5",134225757,134225852,1
"1182",43,"hsa-mir-4461","MIR4461",4461,"5",134928039,134928112,1
"1516",44,"hsa-mir-5692c-1","MIR5692C1",5692,"5",135802985,135803075,-1
"605",45,"hsa-mir-874","MIR874",874,"5",137647572,137647649,-1
"1720",46,"hsa-mir-6831","MIR6831",6831,"5",140563671,140563751,-1
"953",47,"hsa-mir-3655","MIR3655",3655,"5",140647844,140647926,1
"1484",48,"hsa-mir-5197","MIR5197",5197,"5",143679860,143679971,1
"499",49,"hsa-mir-584","MIR584",584,"5",149062313,149062409,-1
"117",50,"hsa-mir-143","MIR143",143,"5",149428918,149429023,1
"119",51,"hsa-mir-145","MIR145",145,"5",149430646,149430733,1
"253",52,"hsa-mir-378a","MIR378A",378,"5",149732825,149732890,1
"1574",53,"hsa-mir-6499","MIR6499",6499,"5",151522087,151522148,-1
"741",54,"hsa-mir-1294","MIR1294",1294,"5",154347106,154347247,1
"847",55,"hsa-mir-3141","MIR3141",3141,"5",154596012,154596072,-1
"760",56,"hsa-mir-1303","MIR1303",1303,"5",154685776,154685861,1
"261",57,"hsa-mir-378h","MIR378H",378,"5",154829458,154829540,1
"848",58,"hsa-mir-3142","MIR3142",3142,"5",160474402,160474483,1
"120",59,"hsa-mir-146a","MIR146A",146,"5",160485352,160485450,1
"77",60,"hsa-mir-103a-1","MIR103A1",103,"5",168560896,168560973,-1
"79",61,"hsa-mir-103b-1","MIR103B1",103,"5",168560904,168560965,1
"185",62,"hsa-mir-218-2","MIR218-2",218,"5",168768146,168768255,-1
"500",63,"hsa-mir-585","MIR585",585,"5",169263601,169263694,-1
"258",64,"hsa-mir-378e","MIR378E",378,"5",170028488,170028566,1
"1009",65,"hsa-mir-3912","MIR3912",3912,"5",171386656,171386760,-1
"1453",66,"hsa-mir-5003","MIR5003",5003,"5",172662165,172662263,1
"1844",67,"hsa-mir-8056","MIR8056",8056,"5",173347455,173347536,1
"1271",68,"hsa-mir-4634","MIR4634",4634,"5",174751734,174751787,1
"711",69,"hsa-mir-1271","MIR1271",1271,"5",176367946,176368031,1
"1080",70,"hsa-mir-4281","MIR4281",4281,"5",176629439,176629500,-1
"666",71,"hsa-mir-1229","MIR1229",1229,"5",179798278,179798346,-1
"228",72,"hsa-mir-340","MIR340",340,"5",180015303,180015397,-1
"1879",73,"hsa-mir-8089","MIR8089",8089,"5",181043403,181043484,-1
"1275",74,"hsa-mir-4638","MIR4638",4638,"5",181222566,181222633,-1
"1603",1,"hsa-mir-6720","MIR6720",6720,"6",1390314,1390411,-1
"1282",2,"hsa-mir-4645","MIR4645",4645,"6",2854031,2854107,-1
"999",3,"hsa-mir-3691","MIR3691",3691,"6",5148233,5148322,-1
"1829",4,"hsa-mir-7853","MIR7853",7853,"6",6169304,6169435,-1
"1505",5,"hsa-mir-5683","MIR5683",5683,"6",6169334,6169409,1
"1510",6,"hsa-mir-5689","MIR5689",5689,"6",10439717,10439794,1
"1276",7,"hsa-mir-4639","MIR4639",4639,"6",16141556,16141624,1
"389",8,"hsa-mir-548a-1","MIR548A1",548,"6",18571784,18571880,1
"849",9,"hsa-mir-3143","MIR3143",3143,"6",27147626,27147688,1
"608",10,"hsa-mir-877","MIR877",877,"6",30584332,30584417,1
"1277",11,"hsa-mir-4640","MIR4640",4640,"6",30890883,30890972,1
"1784",12,"hsa-mir-6891","MIR6891",6891,"6",31355224,31355316,-1
"1721",13,"hsa-mir-6832","MIR6832",6832,"6",31633787,31633858,1
"1283",14,"hsa-mir-4646","MIR4646",4646,"6",31701029,31701091,-1
"671",15,"hsa-mir-1236","MIR1236",1236,"6",31956839,31956940,-1
"1604",16,"hsa-mir-6721","MIR6721",6721,"6",32170030,32170116,-1
"1722",17,"hsa-mir-6833","MIR6833",6833,"6",32179816,32179876,1
"841",18,"hsa-mir-3135b","MIR3135B",3135,"6",32749912,32749979,-1
"186",19,"hsa-mir-219a-1","MIR219A1",219,"6",33207835,33207944,1
"1766",20,"hsa-mir-6873","MIR6873",6873,"6",33287227,33287289,-1
"1723",21,"hsa-mir-6834","MIR6834",6834,"6",33290245,33290325,1
"1454",22,"hsa-mir-5004","MIR5004",5004,"6",33438331,33438437,1
"1030",23,"hsa-mir-3934","MIR3934",3934,"6",33698128,33698234,1
"1807",24,"hsa-mir-7159","MIR7159",7159,"6",33899135,33899200,1
"720",25,"hsa-mir-1275","MIR1275",1275,"6",33999972,34000051,-1
"1724",26,"hsa-mir-6835","MIR6835",6835,"6",34240673,34240736,1
"1794",27,"hsa-mir-7111","MIR7111",7111,"6",35470508,35470579,1
"1511",28,"hsa-mir-5690","MIR5690",5690,"6",35664717,35664789,-1
"1024",29,"hsa-mir-3925","MIR3925",3925,"6",36622436,36622512,-1
"1183",30,"hsa-mir-4462","MIR4462",4462,"6",37555365,37555422,-1
"1278",31,"hsa-mir-4641","MIR4641",4641,"6",41598723,41598788,1
"1669",32,"hsa-mir-6780b","MIR6780B",6780,"6",43434542,43434620,1
"1284",33,"hsa-mir-4647","MIR4647",4647,"6",44254206,44254285,-1
"1279",34,"hsa-mir-4642","MIR4642",4642,"6",44435641,44435722,1
"501",35,"hsa-mir-586","MIR586",586,"6",45197674,45197770,-1
"173",36,"hsa-mir-206","MIR206",206,"6",52144349,52144434,1
"104",37,"hsa-mir-133b","MIR133B",133,"6",52148923,52149041,1
"1507",38,"hsa-mir-5685","MIR5685",5685,"6",53276993,53277071,1
"454",39,"hsa-mir-548u","MIR548U",548,"6",57390132,57390212,1
"55",40,"hsa-mir-30c-2","MIR30C2",30,"6",71376960,71377031,-1
"52",41,"hsa-mir-30a","MIR30A",30,"6",71403551,71403621,-1
"1081",42,"hsa-mir-4282","MIR4282",4282,"6",72967687,72967753,-1
"1184",43,"hsa-mir-4463","MIR4463",4463,"6",75428407,75428473,1
"1185",44,"hsa-mir-4464","MIR4464",4464,"6",90312742,90312833,1
"1280",45,"hsa-mir-4643","MIR4643",4643,"6",91521660,91521737,1
"796",46,"hsa-mir-2113","MIR2113",2113,"6",98024531,98024621,1
"402",47,"hsa-mir-548ai","MIR548AI",548,"6",99124609,99124696,1
"502",48,"hsa-mir-587","MIR587",587,"6",106784125,106784220,1
"421",49,"hsa-mir-548b","MIR548B",548,"6",119069047,119069143,-1
"850",50,"hsa-mir-3144","MIR3144",3144,"6",120015179,120015257,1
"503",51,"hsa-mir-588","MIR588",588,"6",126484631,126484713,1
"438",52,"hsa-mir-548h-5","MIR548H5",548,"6",131792172,131792231,1
"403",53,"hsa-mir-548aj-1","MIR548AJ1",548,"6",132115192,132115263,-1
"960",54,"hsa-mir-3662","MIR3662",3662,"6",134979338,134979432,-1
"390",55,"hsa-mir-548a-2","MIR548A2",548,"6",135239160,135239256,1
"851",56,"hsa-mir-3145","MIR3145",3145,"6",138435213,138435294,-1
"966",57,"hsa-mir-3668","MIR3668",3668,"6",140205252,140205326,1
"1186",58,"hsa-mir-4465","MIR4465",4465,"6",140683814,140683883,1
"714",59,"hsa-mir-1273c","MIR1273C",1273,"6",154853360,154853436,1
"654",60,"hsa-mir-1202","MIR1202",1202,"6",155946797,155946879,1
"1187",61,"hsa-mir-4466","MIR4466",4466,"6",156779678,156779731,-1
"1000",62,"hsa-mir-3692","MIR3692",3692,"6",157529132,157529200,1
"1809",63,"hsa-mir-7161","MIR7161",7161,"6",158609707,158609790,1
"1017",64,"hsa-mir-3918","MIR3918",3918,"6",158764661,158764753,-1
"785",65,"hsa-mir-1913","MIR1913",1913,"6",166509354,166509433,-1
"1035",66,"hsa-mir-3939","MIR3939",3939,"6",166997807,166997912,-1
"1281",67,"hsa-mir-4644","MIR4644",4644,"6",170330761,170330844,1
"227",1,"hsa-mir-339","MIR339",339,"7",1022933,1023026,-1
"1293",2,"hsa-mir-4655","MIR4655",4655,"7",1844180,1844253,-1
"1725",3,"hsa-mir-6836","MIR6836",6836,"7",2257515,2257577,-1
"1285",4,"hsa-mir-4648","MIR4648",4648,"7",2527074,2527145,1
"1294",5,"hsa-mir-4656","MIR4656",4656,"7",4788565,4788639,-1
"504",6,"hsa-mir-589","MIR589",589,"7",5495819,5495917,-1
"1767",7,"hsa-mir-6874","MIR6874",6874,"7",5711840,5711910,-1
"982",8,"hsa-mir-3683","MIR3683",3683,"7",7066964,7067045,-1
"756",9,"hsa-mir-1302-6","MIR1302-6",1302,"7",18127220,18127309,-1
"852",10,"hsa-mir-3146","MIR3146",3146,"7",19705358,19705436,-1
"644",11,"hsa-mir-1183","MIR1183",1183,"7",21471058,21471146,1
"124",12,"hsa-mir-148a","MIR148A",148,"7",25949919,25949986,-1
"159",13,"hsa-mir-196b","MIR196B",196,"7",27169480,27169563,-1
"464",14,"hsa-mir-550a-3","MIR550A3",550,"7",29680734,29680828,-1
"462",15,"hsa-mir-550a-1","MIR550A1",550,"7",30289794,30289890,1
"465",16,"hsa-mir-550b-1","MIR550B1",550,"7",30289794,30289890,-1
"463",17,"hsa-mir-550a-2","MIR550A2",550,"7",32732981,32733077,1
"466",18,"hsa-mir-550b-2","MIR550B2",550,"7",32732981,32733077,-1
"447",19,"hsa-mir-548n","MIR548N",548,"7",34940760,34940834,-1
"653",20,"hsa-mir-1200","MIR1200",1200,"7",36919357,36919432,-1
"1039",21,"hsa-mir-3943","MIR3943",3943,"7",43150895,43150994,1
"1726",22,"hsa-mir-6837","MIR6837",6837,"7",44051766,44051829,1
"1727",23,"hsa-mir-6838","MIR6838",6838,"7",44073378,44073433,-1
"1286",24,"hsa-mir-4649","MIR4649",4649,"7",44110849,44110912,1
"1295",25,"hsa-mir-4657","MIR4657",4657,"7",44881748,44881800,-1
"1082",26,"hsa-mir-4283-1","MIR4283-1",4283,"7",56955785,56955864,-1
"853",27,"hsa-mir-3147","MIR3147",3147,"7",57405025,57405090,1
"1083",28,"hsa-mir-4283-2","MIR4283-2",4283,"7",63621090,63621169,1
"1728",29,"hsa-mir-6839","MIR6839",6839,"7",64679064,64679176,1
"1287",30,"hsa-mir-4650-1","MIR4650-1",4650,"7",67114322,67114397,-1
"1012",31,"hsa-mir-3914-1","MIR3914-1",3914,"7",71307672,71307770,-1
"1013",32,"hsa-mir-3914-2","MIR3914-2",3914,"7",71307674,71307768,1
"1288",33,"hsa-mir-4650-2","MIR4650-2",4650,"7",72697903,72697978,1
"1084",34,"hsa-mir-4284","MIR4284",4284,"7",73711317,73711397,1
"505",35,"hsa-mir-590","MIR590",590,"7",74191198,74191294,1
"1289",36,"hsa-mir-4651","MIR4651",4651,"7",75915197,75915269,1
"730",37,"hsa-mir-1285-1","MIR1285-1",1285,"7",92204015,92204098,-1
"568",38,"hsa-mir-653","MIR653",653,"7",93482760,93482855,-1
"304",39,"hsa-mir-489","MIR489",489,"7",93483936,93484019,-1
"1290",40,"hsa-mir-4652","MIR4652",4652,"7",93716928,93717005,1
"506",41,"hsa-mir-591","MIR591",591,"7",96219662,96219756,-1
"1513",42,"hsa-mir-5692a-1","MIR5692A1",5692,"7",97963658,97963726,1
"1517",43,"hsa-mir-5692c-2","MIR5692C2",5692,"7",97964405,97964481,-1
"929",44,"hsa-mir-3609","MIR3609",3609,"7",98881650,98881729,1
"41",45,"hsa-mir-25","MIR25",25,"7",100093560,100093643,-1
"68",46,"hsa-mir-93","MIR93",93,"7",100093768,100093847,-1
"84",47,"hsa-mir-106b","MIR106B",106,"7",100093993,100094074,-1
"1296",48,"hsa-mir-4658","MIR4658",4658,"7",100156605,100156669,-1
"1729",49,"hsa-mir-6840","MIR6840",6840,"7",100356651,100356721,1
"1768",50,"hsa-mir-6875","MIR6875",6875,"7",100868036,100868107,1
"1291",51,"hsa-mir-4653","MIR4653",4653,"7",101159473,101159555,1
"1085",52,"hsa-mir-4285","MIR4285",4285,"7",102293103,102293187,1
"448",53,"hsa-mir-548o","MIR548O",548,"7",102405742,102405855,-1
"1465",54,"hsa-mir-5090","MIR5090",5090,"7",102465742,102465826,1
"1188",55,"hsa-mir-4467","MIR4467",4467,"7",102471469,102471531,1
"964",56,"hsa-mir-3666","MIR3666",3666,"7",114653345,114653455,1
"1570",57,"hsa-mir-6132","MIR6132",6132,"7",117020211,117020319,1
"507",58,"hsa-mir-592","MIR592",592,"7",127058088,127058184,-1
"508",59,"hsa-mir-593","MIR593",593,"7",128081861,128081960,1
"97",60,"hsa-mir-129-1","MIR129-1",129,"7",128207872,128207943,1
"141",61,"hsa-mir-182","MIR182",182,"7",129770383,129770492,-1
"70",62,"hsa-mir-96","MIR96",96,"7",129774692,129774769,-1
"142",63,"hsa-mir-183","MIR183",183,"7",129774905,129775014,-1
"224",64,"hsa-mir-335","MIR335",335,"7",130496111,130496204,1
"48",65,"hsa-mir-29a","MIR29A",29,"7",130876747,130876810,-1
"49",66,"hsa-mir-29b-1","MIR29B1",29,"7",130877459,130877539,-1
"952",67,"hsa-mir-3654","MIR3654",3654,"7",133034860,133034915,-1
"1571",68,"hsa-mir-6133","MIR6133",6133,"7",133290881,133290988,1
"1584",69,"hsa-mir-6509","MIR6509",6509,"7",135206994,135207078,-1
"305",70,"hsa-mir-490","MIR490",490,"7",136903167,136903294,1
"1189",71,"hsa-mir-4468","MIR4468",4468,"7",138123758,138123821,1
"1785",72,"hsa-mir-6892","MIR6892",6892,"7",143382686,143382800,1
"431",73,"hsa-mir-548f-4","MIR548F4",548,"7",147378017,147378121,-1
"585",74,"hsa-mir-671","MIR671",671,"7",151238421,151238538,1
"1003",75,"hsa-mir-3907","MIR3907",3907,"7",151433489,151433639,-1
"132",76,"hsa-mir-153-2","MIR153-2",153,"7",157574336,157574422,-1
"509",77,"hsa-mir-595","MIR595",595,"7",158532718,158532813,-1
"1534",78,"hsa-mir-5707","MIR5707",5707,"7",158591616,158591696,1
"973",1,"hsa-mir-3674","MIR3674",3674,"8",1801125,1801192,1
"510",2,"hsa-mir-596","MIR596",596,"8",1817231,1817307,1
"1808",3,"hsa-mir-7160","MIR7160",7160,"8",2076589,2076640,1
"1843",4,"hsa-mir-8055","MIR8055",8055,"8",6622124,6622220,-1
"1297",5,"hsa-mir-4659a","MIR4659A",4659,"8",6745164,6745244,1
"1298",6,"hsa-mir-4659b","MIR4659B",4659,"8",6745168,6745240,-1
"441",7,"hsa-mir-548i-3","MIR548I3",548,"8",8088941,8089089,-1
"1299",8,"hsa-mir-4660","MIR4660",4660,"8",9048445,9048518,1
"511",9,"hsa-mir-597","MIR597",597,"8",9741672,9741768,1
"87",10,"hsa-mir-124-1","MIR124-1",124,"8",9903388,9903472,-1
"1086",11,"hsa-mir-4286","MIR4286",4286,"8",10666978,10667070,1
"766",12,"hsa-mir-1322","MIR1322",1322,"8",10825373,10825443,-1
"512",13,"hsa-mir-598","MIR598",598,"8",11035206,11035302,-1
"1514",14,"hsa-mir-5692a-2","MIR5692A2",5692,"8",12719132,12719190,1
"1025",15,"hsa-mir-3926-1","MIR3926-1",3926,"8",12727232,12727304,-1
"1026",16,"hsa-mir-3926-2","MIR3926-2",3926,"8",12727237,12727299,1
"268",17,"hsa-mir-383","MIR383",383,"8",14853438,14853510,-1
"455",18,"hsa-mir-548v","MIR548V",548,"8",17681578,17681657,-1
"206",19,"hsa-mir-320a","MIR320A",320,"8",22244962,22245043,-1
"1730",20,"hsa-mir-6841","MIR6841",6841,"8",24953796,24953867,-1
"1769",21,"hsa-mir-6876","MIR6876",6876,"8",25345402,25345474,1
"437",22,"hsa-mir-548h-4","MIR548H4",548,"8",27048853,27048963,-1
"1731",23,"hsa-mir-6842","MIR6842",6842,"8",27433370,27433434,1
"1732",24,"hsa-mir-6843","MIR6843",6843,"8",27610601,27610751,-1
"943",25,"hsa-mir-3622b","MIR3622B",3622,"8",27701673,27701767,-1
"942",26,"hsa-mir-3622a","MIR3622A",3622,"8",27701677,27701759,1
"1087",27,"hsa-mir-4287","MIR4287",4287,"8",27886039,27886116,-1
"1088",28,"hsa-mir-4288","MIR4288",4288,"8",28505116,28505182,-1
"854",29,"hsa-mir-3148","MIR3148",3148,"8",29957272,29957348,-1
"409",30,"hsa-mir-548ao","MIR548AO",548,"8",41271048,41271143,-1
"299",31,"hsa-mir-486-1","MIR486-1",486,"8",41660441,41660508,-1
"300",32,"hsa-mir-486-2","MIR486-2",486,"8",41660444,41660507,1
"1190",33,"hsa-mir-4469","MIR4469",4469,"8",42896197,42896275,-1
"1191",34,"hsa-mir-4470","MIR4470",4470,"8",61714788,61714859,1
"88",35,"hsa-mir-124-2","MIR124-2",124,"8",64379149,64379257,1
"1502",36,"hsa-mir-5681a","MIR5681A",5681,"8",74548543,74548617,1
"1503",37,"hsa-mir-5681b","MIR5681B",5681,"8",74548550,74548609,-1
"792",38,"hsa-mir-2052","MIR2052",2052,"8",74705693,74705747,1
"855",39,"hsa-mir-3149","MIR3149",3149,"8",76966768,76966850,-1
"1535",40,"hsa-mir-5708","MIR5708",5708,"8",80241389,80241473,1
"1300",41,"hsa-mir-4661","MIR4661",4661,"8",91205485,91205559,1
"1874",42,"hsa-mir-8084","MIR8084",8084,"8",93029751,93029839,1
"257",43,"hsa-mir-378d-2","MIR378D2",378,"8",93916022,93916119,-1
"857",44,"hsa-mir-3150b","MIR3150B",3150,"8",95072911,95072996,-1
"856",45,"hsa-mir-3150a","MIR3150A",3150,"8",95072914,95072993,1
"513",46,"hsa-mir-599","MIR599",599,"8",99536636,99536730,-1
"606",47,"hsa-mir-875","MIR875",875,"8",99536786,99536861,-1
"713",48,"hsa-mir-1273a","MIR1273A",1273,"8",100023982,100024084,-1
"1192",49,"hsa-mir-4471","MIR4471",4471,"8",100382763,100382845,1
"1817",50,"hsa-mir-7705","MIR7705",7705,"8",100702968,100703024,-1
"1501",51,"hsa-mir-5680","MIR5680",5680,"8",102125432,102125515,1
"858",52,"hsa-mir-3151","MIR3151",3151,"8",103154614,103154689,1
"391",53,"hsa-mir-548a-3","MIR548A3",548,"8",104484369,104484465,-1
"793",54,"hsa-mir-2053","MIR2053",2053,"8",112643493,112643583,1
"930",55,"hsa-mir-3610","MIR3610",3610,"8",116874728,116874800,-1
"420",56,"hsa-mir-548az","MIR548AZ",548,"8",119325171,119325265,1
"1303",57,"hsa-mir-4663","MIR4663",4663,"8",123215788,123215863,-1
"392",58,"hsa-mir-548aa-1","MIR548AA1",548,"8",123348034,123348130,1
"425",59,"hsa-mir-548d-1","MIR548D1",548,"8",123348034,123348130,-1
"1733",60,"hsa-mir-6844","MIR6844",6844,"8",124508515,124508576,-1
"1302",61,"hsa-mir-4662b","MIR4662B",4662,"8",124821978,124822058,-1
"1301",62,"hsa-mir-4662a","MIR4662A",4662,"8",124821985,124822051,1
"656",63,"hsa-mir-1204","MIR1204",1204,"8",127795962,127796028,1
